State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
PA,10,"13,280","1,380","11,450",270,"12,080","39,790","15,080","42,454,558","13,280","42,977,828","11,290","12,602,362","12,950","1,316,066","12,170","4,122,862","11,920","3,732,744","6,200","101,232","3,850","783,998","12,270","13,077,650","2,840","654,447","2,740","234,740",230,140,"2,737","2,540","75,274","9,640","8,473,750","7,950","523,271",100,25,"1,740","85,253","3,770","52,128",310,"2,895",0,0,0,0,"2,200","273,362","13,150","4,003,465","13,000","1,515,838",130,"1,267","12,670","267,562","13,140","1,803,299","7,850","161,261","12,740","1,464,650","13,260","38,319,032","13,270","10,147,416","3,040","147,942","9,750","256,315","8,780","207,530",380,250,0,0,0,0,0,0,390,"3,217","5,150","100,377","13,230","10,175,254",0,0,0,0,0,0,0,0,"13,250","9,891,102","13,260","10,007,329","6,010","1,041,860","2,740","230,720"
RI,0,"512,930","264,580","172,880","66,150","308,660","921,000","274,980","30,401,656","511,730","30,852,378","429,290","21,448,672","183,420","334,442","105,450","725,343","96,950","564,918","122,580","113,353","70,940","1,088,654","78,800","1,518,103","50,550","726,555","95,880","2,188,530",720,"60,950","463,141","64,980","833,865","27,530","1,604,571","128,580","450,717","16,620","4,262","3,860","71,000","13,970","113,937","9,800","44,526","43,190","43,234","7,260","16,406","1,730","29,503","178,630","4,375,354","166,390","1,050,601","10,420","9,598","164,070","829,005","178,240","2,012,899","143,050","1,225,518","148,770","469,371","397,660","21,074,609","394,830","3,961,954","14,400","109,313","151,450","179,496","27,220","23,919","18,460","9,706","35,330","39,561","22,500","3,938","72,670","85,768","10,820","3,637","59,530","148,612","487,780","4,887,631","84,090","181,446","72,960","160,394","54,020","62,890","31,620","29,422","361,040","3,782,460","385,320","3,955,122","77,550","324,358","408,350","1,079,135"
RI,1,"6,210","4,240","1,490",290,"4,390","8,300","1,300","-380,431","5,010","-374,207","1,680","42,200","2,270","8,968","1,870","9,983","1,720","6,632",280,437,"1,880","-13,519","2,360","20,349",500,"5,983",690,"6,859",50,210,"1,716",10,22,"1,150","-99,094","1,520","6,224",20,5,10,69,420,"2,726",40,140,270,328,320,"1,109",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,410,10,410,20,44,0,0,0,0,0,3,0,0,0,11,0,0,840,"1,460","2,810","9,889",800,746,510,514,260,351,350,337,10,366,960,"2,075",530,738,"2,300","7,491"
RI,2,"82,750","69,890","5,130","6,800","43,430","72,830","16,030","423,192","82,750","436,936","62,820","318,354","15,260","7,955","8,350","10,050","7,510","6,356","1,130",477,"9,740","45,809","6,030","-2,926","4,150","14,249","7,350","30,924",50,"5,310","20,938",190,856,880,"-1,465","11,730","13,745",130,28,20,60,840,"3,325",180,586,"1,710","1,573","1,300","3,771",20,18,"3,510","54,661","1,140","2,392","1,850",797,"2,700","10,961","3,390","15,105","1,940","12,782","1,940","1,749","11,330","19,229","10,620","1,892",0,3,600,50,340,15,0,0,180,31,30,3,0,0,0,0,"8,680","6,312","71,370","62,364","23,720","26,808","20,890","23,519","7,550","4,926","3,040","2,570","10,380","1,842","19,430","8,431","5,950","2,483","67,370","56,041"
RI,3,"115,380","73,380","14,900","25,190","67,240","181,330","58,490","1,967,322","115,380","2,000,466","91,880","1,445,362","23,260","19,784","11,410","25,753","10,190","16,827","4,460","2,172","14,730","146,795","7,440","2,195","9,000","55,090","17,020","170,171",100,"18,590","123,481","7,340","12,569","1,940","2,541","21,920","33,144",720,159,100,609,"1,620","7,699",830,"2,678","6,800","6,589",900,"1,964",50,37,"10,630","161,045","6,520","7,029","3,530","1,968","8,640","33,565","10,520","46,189","6,430","41,652","7,020","8,985","81,660","541,571","80,530","57,474",20,57,"23,970","8,857","1,320",63,"1,360",425,"7,520","4,378","7,110","1,191","7,860","2,701",320,60,"13,230","19,760","108,780","315,120","38,470","116,986","34,490","105,516","28,510","35,176","6,920","5,774","65,120","48,617","74,850","69,415","9,690","9,257","101,740","254,027"
RI,4,"119,380","67,950","26,910","21,510","69,620","206,220","60,380","4,314,183","119,380","4,372,673","104,370","3,461,194","33,500","28,317","16,540","41,143","14,980","28,112","18,870","10,149","12,120","138,624","11,230","9,628","10,130","86,692","20,490","327,190",120,"16,490","145,701","18,630","117,859","3,390","19,538","27,350","58,490","2,240",530,280,"2,205","2,290","13,980","2,420","9,078","13,530","14,136","1,040","2,067",100,132,"29,380","451,366","26,290","46,166","2,710","2,671","24,920","92,914","29,280","154,808","21,490","142,250","21,570","32,366","116,080","2,391,740","115,440","299,098",20,71,"43,310","37,295","3,800",723,"4,040","2,203","9,580","9,467","12,610","2,279","23,240","21,986","1,770",403,"9,760","20,773","117,050","519,777","21,090","36,905","17,060","30,845","15,450","19,801","6,460","5,611","99,850","261,803","103,500","285,614","14,440","21,565","102,890","252,211"
RI,5,"69,710","29,660","30,850","7,540","43,830","139,000","38,480","4,299,069","69,710","4,350,157","60,720","3,304,064","31,380","30,531","16,410","47,701","14,960","33,282","27,350","17,337","9,340","111,359","11,440","18,500","8,570","100,074","17,210","421,885",110,"8,760","72,810","14,720","206,810","3,530","25,496","21,020","51,083","3,760",928,350,"3,305","1,710","12,265","2,040","8,884","9,040","8,338","1,210","2,393",140,309,"35,970","630,868","34,620","95,875","1,180","1,809","33,010","132,073","35,940","250,566","29,160","216,663","29,100","49,071","69,290","2,832,780","69,080","409,355",70,161,"26,400","35,181","4,060",347,"2,930","1,494","5,960","7,754","2,750",466,"16,010","23,929","2,450",625,"7,140","16,385","68,960","533,875",20,1,20,1,"1,990","2,317","4,480","4,369","66,940","374,174","67,680","394,214","12,830","26,033","55,250","160,875"
RI,6,"44,480","10,610","30,330","2,790","28,970","105,870","31,090","3,847,817","44,480","3,889,445","39,560","2,938,172","24,730","27,591","14,150","46,639","12,980","32,386","24,840","18,850","7,260","98,683","9,990","22,716","6,450","98,157","12,400","369,083",100,"5,620","45,730","9,970","184,578","3,240","37,188","13,880","41,627","2,760",710,350,"3,613","1,390","10,675","1,560","7,356","4,960","5,431",400,845,170,435,"31,050","625,849","30,450","118,818",500,912,"29,400","130,159","31,040","270,493","26,640","217,729","26,580","51,257","44,360","2,676,995","44,270","402,302",190,248,"20,180","30,725","3,790",429,"2,910","1,541","5,060","7,044",0,0,"12,600","20,353","2,080",514,"5,690","14,478","44,170","492,549",0,0,0,0,220,238,"3,790","3,831","43,990","371,576","44,090","389,396","9,080","23,546","34,090","121,949"
RI,7,"59,150","7,130","49,630","1,680","38,660","161,830","53,080","7,899,407","59,150","7,998,765","54,030","6,069,517","39,410","56,966","25,600","120,395","23,900","89,913","40,300","35,971","11,510","242,409","19,750","105,637","8,920","205,767","16,930","671,684",140,"5,360","46,281","11,270","239,205","7,000","154,198","23,750","99,358","6,150","1,686","1,230","17,697","2,860","26,260","2,350","12,483","6,880","6,839","2,090","4,255",440,"1,871","52,430","1,326,543","51,880","329,289",480,"1,018","50,430","273,806","52,410","646,724","45,190","425,498","47,690","122,080","59,090","5,885,265","59,020","1,032,959","2,290","5,002","29,280","36,619","8,120","1,788","5,980","3,352","7,030","10,884",0,0,"12,950","16,785","3,480","1,047","9,370","32,512","58,860","1,146,450",0,0,0,0,60,80,"6,590","6,932","58,920","996,341","58,970","1,036,246","17,620","72,983","39,000","167,368"
RI,8,"13,020","1,370","11,230",310,"9,910","37,320","13,080","3,671,229","13,020","3,754,232","11,790","2,465,322","10,870","41,586","8,660","118,444","8,290","94,356","4,240","8,193","3,570","216,509","8,070","185,359","2,300","98,350","3,220","158,822",40,560,"5,749","2,310","57,806","4,450","350,242","5,640","83,003",800,205,"1,140","28,942","1,980","24,745",300,"2,627",0,0,0,0,430,"4,137","12,840","573,756","12,690","201,799",130,364,"12,250","106,610","12,830","321,931","10,280","133,408","12,120","65,355","13,010","2,953,841","13,010","728,830","10,010","62,015","5,750","7,393","4,110","4,119","1,120",618,0,0,0,0,0,3,660,438,"3,680","23,856","12,960","732,359",0,0,0,0,0,0,0,0,"13,000","721,437","13,000","748,344","6,090","80,175","5,100","37,125"
